title,brand,description,price/currency,price/value,stars,reviewsCount
LYZOIT Square Oversized Sunglasses for Women Men Big Flat Top Fashion Shield Large UV Protection Rimless Shades,LYZOIT,,$,17.99,4.6,4741.0
Goodr OG Sunglasses,Goodr,"Look hip and stylish with the goodr A Gingers Soul Polarized Sunglasses. These shades feature a special grip coating that will eliminate slippage when sweating and the snug lightweight frame fits comfortably on the face to prevent bouncing. They also feature a glare reducing, polarized lens with UV400 protection that will keep your eyes protected from the harmful UV rays of the sun.Special Grip CoatingSpecial Grip CoatingSnug, Lightweight FrameSnug, Lightweight FrameGlare Reducing Polarized LensesGlare Reducing Polarized LensesUV400 ProtectionUV400 ProtectionMade for Running, Great for Beasting and BikingMade for Running, Great for Beasting and BikingModel number: OG-BK-BK1Model number: OG-BK-BK1",$,25.0,4.6,6137.0
Freckles Mark Vintage Retro 70s Sunglasses for Women Men Classic Large Square Aviator Trendy Glasses,Freckles Mark,"At Freckles Mark, we love sunshine, colors, fashion, comfort...and sunglasses! :) Sunglasses allow us to express emotions, feelings and pizzazz. We strive to deliver fashionable, yet comfortable and affordable eyeglasses to everyone. Let your eyes shine under the sun of your Freckles Mark sunglasses.",,,4.5,5979.0
"COLOSSEIN Womens Sunglasses UV400 Mirrored Lens, Fit for Outdoor, Vacation, Driving",COLOSSEIN,,,,4.5,13067.0
KAPVOE Photochromic Cycling Glasses Men Women Mountain Bike Sunglasses Clear MTB Bicycle Riding,KAPVOE,,,,4.3,1808.0
Polarized Sunglasses for Men Driving Mens Sunglasses Rectangular Vintage Sun Glasses For Men/Women,Sinuoda,,$,9.99,4.4,7287.0
OLIN Yoela Triangle Rimless Sunglasses One Piece Colored Transparent Sunglasses For Women and Men,OLINOWL,"About Yoela'S SECRET Up to date latest eyewear styles with qualities and designs surpassing similar mainstream product. Gender: Unisex Material: Polycarbonate (PC) lens, plastic frame Net weight: 35g Package content: one sunglass Feature:  A simple and casual wear with a personalized triangle sunglasses, super cute and super fun ,that will give you an overall look of 100 points.we are sure it will win your hearts on sunny days!Available in a variety of fun colors to match all your outfits.Add points to your overall look when you go to the beach, party, travel, shopping, etc. Cleaning Tips- Treat sunglasses mildly and clean regularly- Clean the lens with water or warm mild liquid- Wipe the sunglasses with the soft glasses clothColor Disclaimer: Due to monitor settings, monitor pixel definitions, we cannot guarantee that thecolor you see on your screen is the exact color of the product. We strive to make our colors asaccurate as possible. however, colors might be approximations of actual colors.Guaranteed PurchaseWe aim to provide high-quality products and top-notch customer service to everyone in the world.We sincerely offer you 100% satisfaction guarantee. We'll work with you to resolve any issuesyou come across and ensure that you're satisfied with your experience.",$,3.99,4.6,3348.0
Polarized Clip On Sunglasses Over Prescription Glasses Men Women Compact Fit Non-Flip Up,CAXMAN,,,,4.3,4004.0
CARFIA Vintage Polarized Sunglasses for Men UV400 Protection Retro Fashion Eyewear Hand-crafted Acetate Frame CA5288L,CARFIA,,$,25.99,4.6,8311.0
"MEETSUN Fit Over Glasses Sunglasses for Men Women,Wrap Around Sunglasses Polarized 100% UV400 Protection",MEETSUN,,,,4.2,4051.0
"Lasiyanor Lightweight TAC Polarized Tinted Classic Vintage Retro 70s Sunglasses, TR-90 Frame for Women Men, UV 400 Protection",Lasiyanor,,,,4.3,1641.0
